상가업소번호,가게명,키워드,갯수,행정동,업종,리뷰
1112,후스테이블,적당한,4.0,가회동,서양식,"번잡한 큰길을 살짝벗어난 곳에있어요 알음알음 많이들 오시는거같습니다 다만 제가 오늘 주문한 메뉴는 좀 실패인듯 해요 1.프로슈토루꼴라 : 피자가 맵습니다. 루꼴라 맛이나 도우, 치즈맛이 느껴지지 않을정도로 매운맛이 인상깊게남아요. 매운빵이라고 생각하시면 되겠습니다.  2.매운토마토리조또 : 고추3개그림이 있었는데 이탈리아음식이 매워봤자지..라는 생각으로 주문했으나 진짜 맵습니다. 다 못먹었어요. 평소에 매운음식 즐겨먹는데도 이건 못먹겠더라고요. 3.알리오올리오 : 먹을만합니다 메뉴판에 고추그림이 있는 메뉴는 많이맵습니다. 감칠맛이 있는 매콤함이 아니어서 아쉬웠습니다. 알리오올리오는 평범했어요. 숨은 맛집이라는 평가가 있는데 그냥 숨은 집입니다. 가격은 적당한 편이나 특별히 찾아올 곳은 아닙니다"
1112,후스테이블,파스타,4.0,가회동,서양식,"피자는 무난, 파스타는 맛있는 편입니다. 가격이 무난해서 종종 찾게 될 것 같네요~"
1112,후스테이블,작은,3.0,가회동,서양식,감베로니크림 일반 크림스피게티랑 살짝 다른 맛이 느껴져서 좋았고요 아라비아따는 살짝 매운 맛이 느껴지며 맛있었어요 피자는 작은사이즈 가 있어서 좋았어요 즐거운 식사했습니다.
1112,후스테이블,크림,3.0,가회동,서양식,감베로니크림 일반 크림스피게티랑 살짝 다른 맛이 느껴져서 좋았고요 아라비아따는 살짝 매운 맛이 느껴지며 맛있었어요 피자는 작은사이즈 가 있어서 좋았어요 즐거운 식사했습니다.
1112,후스테이블,매운,3.0,가회동,서양식,감베로니크림 일반 크림스피게티랑 살짝 다른 맛이 느껴져서 좋았고요 아라비아따는 살짝 매운 맛이 느껴지며 맛있었어요 피자는 작은사이즈 가 있어서 좋았어요 즐거운 식사했습니다.
1112,후스테이블,가볍게,2.0,가회동,서양식,북촌한옥마을 주변 현대건설 사옥 근처에 작은 파스타 집이다. 버섯크림파스타가 시그니쳐 인것 같아 주문 했는데 처음 먹으면 강한 불향이 느껴진다. 첫맛은 어색하지만 계속 먹다보면 버섯으로 만든 크림소스의 매력에 빠져드는 맛! 피자도 화덕 피자라 얇고 맛있다 ! 가볍게 들려서 먹기 괜찮은 곳!
MA010120220806666078,회화나무,뷰,34.0,가회동,카페,.
MA010120220806666078,회화나무,커피,30.0,가회동,카페,커피가 아주 부드러위 좋았어요. 저녁 창밖 풍경이 고즈넉하고 푸근하고. 담너머로 보이는 청덕궁 궁궐의 지붕과 처마 참 아름다웠습니다.
MA010120220806666078,회화나무,창덕궁,22.0,가회동,카페,창덕궁뷰가 좋네요
MA010120220806666078,회화나무,맛있는,9.0,가회동,카페,창밖으로 창덕궁 보면서 마시는 핸드드립 커피맛 최고에요. 카페 분위기있고 조용하고 아기자기 예쁘다요!! 커피와 쿠키 다 맛있어요
MA010120220806666078,회화나무,멋진,9.0,가회동,카페,뷰가 멋져요~
MA010120220806666078,회화나무,예쁜,8.0,가회동,카페,카페의뷰가 너무 멋있고 커피잔도 너무 예쁨 근데 장소가 좁아서 그런지 여기저기 들리는 대화가 좀 시끄러움
MA010120220806666078,회화나무,종류,8.0,가회동,카페,원두 종류가 다양하고뷰는 말 할 것도 없어요
MA010120220806666078,회화나무,창덕궁 뷰,8.0,가회동,카페,창덕궁뷰가 좋네요
MA010120220806666078,회화나무,분위기,7.0,가회동,카페,"창덕궁을 바라보며 마시는 홍차, 맛과 분위기, 모두 추천합니다"
MA010120220806666078,회화나무,좋은 뷰,7.0,가회동,카페,#NAME?
MA010120220806737409,황칠가 안국점,맛있는,11.0,가회동,한식,맛있고 가성비가 좋아요!!
MA010120220806737409,황칠가 안국점,갈비탕,11.0,가회동,한식,곰탕 보단 갈비탕 추천해요. 곰탕은 좀 느끼했어요. 고기가 좀 느끼했어요. 갈비는 부드럽고 맛있었습니다. 솥밥이 함께 나오고 어린 애들 누릉지 숭늉 좋아하니 잘 먹어요. 추천합니다.
MA010120220806737409,황칠가 안국점,솥밥,11.0,가회동,한식,곰탕 보단 갈비탕 추천해요. 곰탕은 좀 느끼했어요. 고기가 좀 느끼했어요. 갈비는 부드럽고 맛있었습니다. 솥밥이 함께 나오고 어린 애들 누릉지 숭늉 좋아하니 잘 먹어요. 추천합니다.
MA010120220806737409,황칠가 안국점,고기,7.0,가회동,한식,곰탕 보단 갈비탕 추천해요. 곰탕은 좀 느끼했어요. 고기가 좀 느끼했어요. 갈비는 부드럽고 맛있었습니다. 솥밥이 함께 나오고 어린 애들 누릉지 숭늉 좋아하니 잘 먹어요. 추천합니다.
MA010120220806737409,황칠가 안국점,밥,6.0,가회동,한식,곰탕 보단 갈비탕 추천해요. 곰탕은 좀 느끼했어요. 고기가 좀 느끼했어요. 갈비는 부드럽고 맛있었습니다. 솥밥이 함께 나오고 어린 애들 누릉지 숭늉 좋아하니 잘 먹어요. 추천합니다.
MA010120220806737409,황칠가 안국점,친절한,6.0,가회동,한식,주차 안내도 친절하게 해주시고 음식도 금방 나옵니다.
MA010120220806737409,황칠가 안국점,회사,4.0,가회동,한식,"수명연장에 중요한 텔로미어레이즈 관련 연구를 바탕으로 황기의 효능이 듬뿍 발휘된 갈비탕 맛집입니다! 삼계탕도 넘나 맛있습니다! 건강식으로 가족, 회사 모임하기에 너무 좋아요 ㅎ"
MA010120220806737409,황칠가 안국점,양,4.0,가회동,한식,추운날 뜨끈한 국물이 먹고 싶거나 몸 보양을위해 삼계탕을 찾는다면 가볼 만한곳. 담백하고 깔끔한 곰탕과 바로 만들어 주는 솥밥 반찬은 깍두기 . 겉절이 . 무간장 장아찌 뿐이지만 김치도 깔끔
MA010120220806737409,황칠가 안국점,삼계탕,4.0,가회동,한식,추운날 뜨끈한 국물이 먹고 싶거나 몸 보양을위해 삼계탕을 찾는다면 가볼 만한곳. 담백하고 깔끔한 곰탕과 바로 만들어 주는 솥밥 반찬은 깍두기 . 겉절이 . 무간장 장아찌 뿐이지만 김치도 깔끔
MA010120220806737409,황칠가 안국점,국물,3.0,가회동,한식,추운날 뜨끈한 국물이 먹고 싶거나 몸 보양을위해 삼계탕을 찾는다면 가볼 만한곳. 담백하고 깔끔한 곰탕과 바로 만들어 주는 솥밥 반찬은 깍두기 . 겉절이 . 무간장 장아찌 뿐이지만 김치도 깔끔
MA010120220800074209,황생가칼국수,만두,6.0,삼청동,한식,
MA010120220800074209,황생가칼국수,칼국수,6.0,삼청동,한식,
MA010120220800074209,황생가칼국수,직접,4.0,삼청동,한식,
MA010120220800074209,황생가칼국수,회전율,4.0,삼청동,한식,     2023미쉐린 빕구르망에 선정된 칼국수집이에요. 삼청동 지나갈 때마다 너른 마당의 한옥집으로 눈에 띄는 곳이었는데 칼국수집이었네요. 칼국수와 왕만두 모두 남녀노소 그리고 외국인까지 좋아할만한 맛이에요. 자극적이지 않으면서도 깊은 맛이 특징이고 가게에서 직접 만두를 빚고 계셔서 나름 볼거리도 되는 것 같아요. 날씨 좋은 점심 시간에 외국인 손님과 함께 갔는데 웨이팅이 어마어마 하더라구요. 대신 앉아서 기달릴 수 있는 의자도 많이 두셔서 편하게 기다릴 수 있었어요. 회전율 빠른 편이에요. 아삭아삭한 백김치도 외국인 손님 입맛에 잘 맞더라구요.    
MA010120220800074209,황생가칼국수,웨이팅,4.0,삼청동,한식,     2023미쉐린 빕구르망에 선정된 칼국수집이에요. 삼청동 지나갈 때마다 너른 마당의 한옥집으로 눈에 띄는 곳이었는데 칼국수집이었네요. 칼국수와 왕만두 모두 남녀노소 그리고 외국인까지 좋아할만한 맛이에요. 자극적이지 않으면서도 깊은 맛이 특징이고 가게에서 직접 만두를 빚고 계셔서 나름 볼거리도 되는 것 같아요. 날씨 좋은 점심 시간에 외국인 손님과 함께 갔는데 웨이팅이 어마어마 하더라구요. 대신 앉아서 기달릴 수 있는 의자도 많이 두셔서 편하게 기다릴 수 있었어요. 회전율 빠른 편이에요. 아삭아삭한 백김치도 외국인 손님 입맛에 잘 맞더라구요.    
MA010120220800074209,황생가칼국수,구수한,4.0,삼청동,한식,     깔끔한 사골국물 칼국수의 정석 같은 한 그릇. 단촐한 고명을 올려낸 칼국수라 별거 아닌 거 같지만 두툼하면서도 미끈한 면발에 구수한 사골국물이 어우러지니 참 맛있다 . 미슐랭+지역 특수로 다소 높은 금액이 붙은 것이 눈물찔끔 포인트지만 또 요즘 물가 생각하면 그렇게 비싼 것도 아닌듯.. 만두가 맛있다 는 얘기가 많아서 만두국도 주문해봤으나 내겐 좀 달았다. 만두국보다는 칼국수가 훨씬 맛있음. 만두가 먹고 싶다면 그냥 찐만두로 곁들이는 편이 좋을 것 같다. 웨이팅이 많은데 내부가 넓고 국수라 회전율 좋아서 금방 들어갈 수 있다.    
MA010120220800074209,황생가칼국수,국물,4.0,삼청동,한식,"     전일 과음으로 숙취 해소를 위해 무엇을 먹을까 고민하다가 찾아갔다 - 황생가(黃生家) 칼국수조금 일찍 나와 영업개시 시간에 맞춰서 도착했는데도 이미 식당 안에는 시라들로 북적였다. 그래도 다행이 자리는 있어 앉을 수 있었다. 1,2층으로 되어 있는데 1층은 일반 테이블석이었고 2층은 방들로 되어 있었다. 자리에 앉아 메뉴판을 펼치며 왕만두를 시킬까말까 고민하다가 너무 많을 것 같아 주문했다 - ""사골칼국수 하나요"" 시키고나서 주변을 둘러보니 모든 테이블에 왕만두가 없는 데가 없어 바로 질렀다 - ""여기 왕만두 하나 추가요"" 시키고나서 걱정이 되었다 - 너무 많을까?우선 기본 찬으로 걷절이김치와 백김치가 나왔다. 걷절이는 빛깔이 간이 셀것 같았는데 전혀 자극적이지 않고 오히려 약간 싱거운 것이 계속 먹기에 좋았다. 백김치도 아주 맛있었다. 그래서인지 사람들이 한켠에서 직접 김치를 계속 담아가는 모습이 보였다.??칼국수는 사골국물 베이스이며 호박, 양파, 파, 버섯, 고기 조금이 칼국수를 구성하고 있었다. 국물은 아주 구수하고 진한것이 묵직하게 목넘길 수 있었다. 테이블에 마련된 양념장을 넣으니 살짝 칼칼하니 얼큰하게 먹을 수 있어 좋았다. ??왕만두도 중간에 나왔는데 큰접시에 만두 아홉알이 놓여져 있었다. 괜히 시켰나하고 살짝 걱정했다. 만두는 얇은 만두피에 폭신폭신한 만두소로 빚어졌다. 씹기에 너무 부드럽고 기분 좋았으나 서서히 배가 불러오는 것을 느낄 수 있었다.꾸역꾸역 다 먹었다. 내가 생각해도 내 몸한테 내가 좀 심했다는 생각이 들었다. 새해부터 과식하지 않기로 했는데...대신 저녁과 다음날 아침은 패쓰!다 먹고 계산하기 위해 내려오는데 입구에는 대기손님으로 가득했고 바깥에도 기다리는 손님들로 북적거렸다.옆테이블에서 너무 맛있게 먹는 모습이 궁금해서 다음에는 만두전골, 수육, 보쌈도 맛봐야겠다.?? 황생가(黃生家) 칼국수@ 서울 종로구 북촌로5길 78☎? 02-739-6334?? 매일 11:00-21:30?? 사골칼국수 11,000원   왕만두 11,000원?? 예약불가, 전용주차장 이용가능 #황생가칼국수 #사골칼국수 #칼국수 #왕만두 #삼청동맛집 #북촌맛집 #대기각오 #살인대기 #자덕식객 #미쉐린가이드 #미슐랭 #밥그루밍 #식객허영만의백반기행 #블루리본서베이 #블루리본 #오래가게 sice 2001    "
MA010120220800074209,황생가칼국수,기다림,4.0,삼청동,한식,
MA010120220800074209,황생가칼국수,백김치,4.0,삼청동,한식,
MA010120220800074209,황생가칼국수,손님,4.0,삼청동,한식,
MA010120220800023964,황금정,맛있는,9.0,가회동,한식,양도많고 맛있어요
MA010120220800023964,황금정,쌈밥,8.0,가회동,한식,점심으로 쌈밥 추천해요 쌈채소 좋고 친절해서 좋아요
MA010120220800023964,황금정,고기,6.0,가회동,한식,고기는 괜찮네요
MA010120220800023964,황금정,점심,4.0,가회동,한식,점심으로 쌈밥 추천해요 쌈채소 좋고 친절해서 좋아요
MA010120220800023964,황금정,친절한,4.0,가회동,한식,친절해요
MA010120220800023964,황금정,갈비,4.0,가회동,한식,"너무 배고파서 사진을 못 찍었는데 여자둘이서 갈비 4인분에 비냉,된찌에 밥까지 먹었어요ㅎㅎ만족스러웠어요. 역시 갈비는 실패하지 않아요. 고기는 비냉이랑 같이 먹을때도 맛있었고 그냥 먹었을때도 맛있었어요. 지나가다 들어간 식당인데 의외로 맛집을 발견했네요~"
MA010120220800023964,황금정,정식,3.0,가회동,한식,쌈밥정식.맛있어요~
MA010120220800023964,황금정,제육,3.0,가회동,한식,이집 제육 잘 볶네
MA010120220800023964,황금정,종류,3.0,가회동,한식,맛있어요 메뉴 종류가 많아요. 고기도 냄새 안나고 고소하고 반찬들도 맛있습니다 국수도 맛있다 고 하네요
MA010120220800023964,황금정,도전,3.0,가회동,한식,버섯전골 2인 주문해서 먹었는데 괜찮았어요! 다음에 꼭 재방문 해서 쌈밥도 도전 예정입니다??
MA010120220808443747,화양연화,맛있는,16.0,가회동,동남아시아,음식 맛있고 분이기도 좋았어요
MA010120220808443747,화양연화,팟타이,11.0,가회동,동남아시아,팟타이짱맛네
MA010120220808443747,화양연화,가지튀김,4.0,가회동,동남아시아,"똠얌꿍이랑가지튀김 너므 맛있어요,,,,,"
MA010120220808443747,화양연화,사장님,4.0,가회동,동남아시아,사장님 바꼇나요? 맛이예전과달라요.. 뿌팟퐁커리에 베이비크랩이아니고 된장찌개용 꽃게로나오네요
MA010120220808443747,화양연화,커리,4.0,가회동,동남아시아,불친절하다는 리뷰가 많아서 걱정했는데 친절하셨습니다. 다만 음식이 너무 짜요 ㅜ 맛을 떠나서 너무 간이 강하고 짜서 무슨 맛인지 잘 모르겠더라구요 그리고 뿌팟퐁 커리도 다른 곳이랑 달라요 .. 그냥 꽃게 사다가 튀겨놓은거 같아요 이런 뿌팟퐁 커리는 처음 먹어봐요 가격 메리트 말고는 없네요
MA010120220808443747,화양연화,환기,4.0,가회동,동남아시아,매콤하고 달달하고 새콤함이 꽤 있는 태국요리집입니다. 팟타이는 자극적인 편이라 입맛돋구기 좋습니다. 전반적으로 음식 맛은 괜찮은 편이지만 지하에 환기가 잘 안되어있어 주방에서 나오는 연기가 계속 남아있어 음식냄새가 많이 배며 다소 매캐한 단점이 있습니다.
MA010120220808443747,화양연화,태국,3.0,가회동,동남아시아,"인테리어는 옛날 느낌, 태국 음식 맛있어요. 기회가 된다면 다른 것도 먹고 싶어요."
MA010120220808443747,화양연화,맛있는 음식,3.0,가회동,동남아시아,
MA010120220808443747,화양연화,꽃게,3.0,가회동,동남아시아,불친절하다는 리뷰가 많아서 걱정했는데 친절하셨습니다. 다만 음식이 너무 짜요 ㅜ 맛을 떠나서 너무 간이 강하고 짜서 무슨 맛인지 잘 모르겠더라구요 그리고 뿌팟퐁 커리도 다른 곳이랑 달라요 .. 그냥 꽃게 사다가 튀겨놓은거 같아요 이런 뿌팟퐁 커리는 처음 먹어봐요 가격 메리트 말고는 없네요
MA010120220808443747,화양연화,맛있는 팟타이,2.0,가회동,동남아시아,팟타이가 맛있어요!
MA010120220800028269,화동옥,냉면,7.0,가회동,한식,
MA010120220800028269,화동옥,맛있는,4.0,가회동,한식,맛있어요
MA010120220800028269,화동옥,국물,3.0,가회동,한식,
MA010120220800028269,화동옥,남자친구,3.0,가회동,한식,남자친구가 냉면을 엄청 좋아하는데 너무 맛있대요ㅋㅋ
MA010120220800028269,화동옥,비빔냉면,3.0,가회동,한식,
MA010120220800028269,화동옥,겨울,2.0,가회동,한식,겨울에 먹는 냉면 너무 맛있어요! 비냉 먹으러 종종 갑니다~
MA010120220800028269,화동옥,국물 맛,2.0,가회동,한식,
MA010120220800028269,화동옥,설렁탕,2.0,가회동,한식,설렁탕 국물 맛이 좋음 냉면도 간이 세지않아 좋음
MA010120220800028269,화동옥,진한,2.0,가회동,한식,진한 국물맛이 최고였어요
MA010120220800028269,화동옥,친절한,1.0,가회동,한식,친절합니다
MA010120220813131895,호아드 카페&갤러리,친절한,16.0,삼청동,카페,예쁘고 친절하고 좋아요
MA010120220813131895,호아드 카페&갤러리,맛있는,12.0,삼청동,카페,호젓하고 커피도 맛있고 르뱅쿠키도 맛있는데 이층에 대형 화환이 좀 깨네요... 현란해서
MA010120220813131895,호아드 카페&갤러리,커피,8.0,삼청동,카페,호젓하고 커피도 맛있고 르뱅쿠키도 맛있는데 이층에 대형 화환이 좀 깨네요... 현란해서
MA010120220813131895,호아드 카페&갤러리,분위기,8.0,삼청동,카페,카페안에 다양한 분위기에 공간들이 있어서 특이하다고 생각이 들었음 ㅋㅋ 한옥도 있고 현대식 갤러리도 있고 뷰와 분위기가 좋았음
MA010120220813131895,호아드 카페&갤러리,뷰,8.0,삼청동,카페,커피도 맛있고뷰도 너무 좋고 미술관 근처 안쪽이라 그렇게 사람도 많지않아서 좋았어요 그리고 전시도 볼수 있어서 좋았습니다
MA010120220813131895,호아드 카페&갤러리,노키즈존,6.0,삼청동,카페,아기데리고 자주 가는데 매번 친절하게 대해주시고 아기도 예쁘다해주셔서 감사합니다. 노키즈존도 많은데 감사할 따름입니다 :)
MA010120220813131895,호아드 카페&갤러리,갤러리,6.0,삼청동,카페,아인슈페너가 맛있었지만 전반적으로 아쉬웠던 카페였어요. 갤러리쪽에 올라가서 마셨는데빵부스러기가 테이블에 남아있었고 먼지도 꽤 있었어요. 다른 곳은 모르겠지만 갤러리쪽 청결에 신경써주셔야될것 같아요.
MA010120220813131895,호아드 카페&갤러리,쿠키,6.0,삼청동,카페,호젓하고 커피도 맛있고 르뱅쿠키도 맛있는데 이층에 대형 화환이 좀 깨네요... 현란해서
MA010120220813131895,호아드 카페&갤러리,예쁜,6.0,삼청동,카페,예쁘고 친절하고 좋아요
MA010120220813131895,호아드 카페&갤러리,두번째,4.0,삼청동,카페,저번에 갔을때 좋았어서 두번째 갔는데 이번에는 사진전시하더라구요 너무 좋았어요 이번에는 한옥에서 차도 마셨는데 좋았어요
MA010120220812169103,호랑이카레,호랑이,14.0,가회동,서양식,"     안국 | 호랑이카레- 호랑이카레안국역 내려서 안쪽으로 쭈우욱 걸어가면 나오는 호랑이카레! 시그니처 메뉴로 보이는 호랑이카레를 주문했어요.호랑이가 그려져있는게 너무 귀여웠어요 ㅎㅎ 맛은,, 기대보다는 그냥 그랬어요! 마늘후레이크 탄 맛이 너무 강하게 나서 조금 아쉬웠어요. 거기에 특유의 향이 꽤 강하게 났고, 사각사각한 야채들의 조합이 그렇게 좋다고 느끼지는 못했던 ㅠ 그렇게 살짝 실망할때쯤..? 속이 꽉 차고 맛있는 당근케이크의 등장으로 만회됐네요 ㅎㅎ    "
MA010120220812169103,호랑이카레,카레,13.0,가회동,서양식,"     안국 | 호랑이카레- 호랑이카레안국역 내려서 안쪽으로 쭈우욱 걸어가면 나오는 호랑이카레! 시그니처 메뉴로 보이는 호랑이카레를 주문했어요.호랑이가 그려져있는게 너무 귀여웠어요 ㅎㅎ 맛은,, 기대보다는 그냥 그랬어요! 마늘후레이크 탄 맛이 너무 강하게 나서 조금 아쉬웠어요. 거기에 특유의 향이 꽤 강하게 났고, 사각사각한 야채들의 조합이 그렇게 좋다고 느끼지는 못했던 ㅠ 그렇게 살짝 실망할때쯤..? 속이 꽉 차고 맛있는 당근케이크의 등장으로 만회됐네요 ㅎㅎ    "
MA010120220812169103,호랑이카레,맛있는,12.0,가회동,서양식,진짜 맛있어요.. 아주 맛있습니다..
MA010120220812169103,호랑이카레,귀여운,10.0,가회동,서양식,"     안국 | 호랑이카레- 호랑이카레안국역 내려서 안쪽으로 쭈우욱 걸어가면 나오는 호랑이카레! 시그니처 메뉴로 보이는 호랑이카레를 주문했어요.호랑이가 그려져있는게 너무 귀여웠어요 ㅎㅎ 맛은,, 기대보다는 그냥 그랬어요! 마늘후레이크 탄 맛이 너무 강하게 나서 조금 아쉬웠어요. 거기에 특유의 향이 꽤 강하게 났고, 사각사각한 야채들의 조합이 그렇게 좋다고 느끼지는 못했던 ㅠ 그렇게 살짝 실망할때쯤..? 속이 꽉 차고 맛있는 당근케이크의 등장으로 만회됐네요 ㅎㅎ    "
MA010120220812169103,호랑이카레,오므라이스,8.0,가회동,서양식,오므라이스랑 소유파스타 시켰는데 둘다 맛있었어요. 벌써 여러번 재방문하는데 맛이 한결같으면서도 점점 좋아지는것 같아요. 북촌 오면 항상 여기로 가는데 데려가면 모두 만족합니다! 다만 지하라 환기가 잘 안되는게 살짝 아쉽.. 또올게요!
MA010120220812169103,호랑이카레,후식,6.0,가회동,서양식,"     찾아가는 식당들마다 늘어진 웨이팅을 보며 한숨짓다 친구가 여기는 웨이팅이 없을 거라고 데리고 간 호랑이카레. 우리가 들어오고나서 꽤 사람이 들어차긴했는데…위치가 꽤 외져서 그런 탓도 있는 듯.호랑이카레와 킹타이거새우카레를 주문. 위의 토핑 빼고는 큰 차이는 없는 듯. 아마 카라멜 소스?로 그려진 듯한 호랑이들이 귀엽뽀짝쓰.사실 이런 비주얼 때문에 좀 편견을가지고 먹은 것도 있긴한데, 맛 자체는 나쁘지 않은 일식 카레. 부드럽고 달달한데 꽤나 풍성하고 볼륨감도 있다고 느꼈다. 볶아진 야채들 식감도 아삭하니 좋고,튀김도 그냥 제품을 튀겨낸 건 아닌 느낌. 후식으로 나오는 앙증맞은 당근케잌도 당근 맛이 많이 안나서(?!?) 괜찮게 먹을 수 있었다.너무 기대를 하고 갈만한 곳은 아니지만, 웨이팅 생각치 않고 편하게 한끼 먹기에는 좋은 식당.    "
MA010120220812169103,호랑이카레,부드러운,6.0,가회동,서양식,"     찾아가는 식당들마다 늘어진 웨이팅을 보며 한숨짓다 친구가 여기는 웨이팅이 없을 거라고 데리고 간 호랑이카레. 우리가 들어오고나서 꽤 사람이 들어차긴했는데…위치가 꽤 외져서 그런 탓도 있는 듯.호랑이카레와 킹타이거새우카레를 주문. 위의 토핑 빼고는 큰 차이는 없는 듯. 아마 카라멜 소스?로 그려진 듯한 호랑이들이 귀엽뽀짝쓰.사실 이런 비주얼 때문에 좀 편견을가지고 먹은 것도 있긴한데, 맛 자체는 나쁘지 않은 일식 카레. 부드럽고 달달한데 꽤나 풍성하고 볼륨감도 있다고 느꼈다. 볶아진 야채들 식감도 아삭하니 좋고,튀김도 그냥 제품을 튀겨낸 건 아닌 느낌. 후식으로 나오는 앙증맞은 당근케잌도 당근 맛이 많이 안나서(?!?) 괜찮게 먹을 수 있었다.너무 기대를 하고 갈만한 곳은 아니지만, 웨이팅 생각치 않고 편하게 한끼 먹기에는 좋은 식당.    "
