상가업소번호,가게명,업종,점수,리뷰증가율,재방문,좋아요,찜,주소,행정동,위도,경도,긍정 리뷰 비율,리뷰수
MA010120220808175277,재동맥주,주점,0.0,-0.27,12.5,0,0,서울특별시 종로구 북촌로4길 4,가회동,37.579034,126.98544,81.2,16
MA010120220808335489,베커린 안국점,카페,0.0,4.38,6.98,0,0,서울특별시 종로구 윤보선길 20,삼청동,37.576972,126.984142,97.7,86
MA010120220808352010,행복한 베이커리카페,카페,0.0,-0.21,3.33,0,0,서울특별시 종로구 율곡로3길 4,삼청동,37.576598,126.982874,100.0,30
MA010120220808273457,와인이지,주점,0.0,-0.12,0.0,0,0,서울특별시 종로구 계동길 5,가회동,37.57752,126.98649,100.0,7
MA010120220808590361,아재커피 북촌점 AZE COFFEE,카페,0.0,-0.39,50.0,0,0,서울특별시 종로구 창덕궁1길 39,가회동,37.579276,126.987005,100.0,20
MA010120220808676069,스미스가 좋아하는 테라스,서양식,0.0,-0.31,9.09,0,0,서울특별시 종로구 삼청로 135-3,삼청동,37.587622,126.981344,100.0,11
MA010120220809324261,권사부순대국 삼청점,한식,0.0,-0.44,0.0,0,0,서울특별시 종로구 북촌로 137-13,삼청동,37.586968,126.982654,100.0,5
MA010120220809776485,코닉,카페,0.0,0.25,40.0,0,0,서울특별시 종로구 계동길 112,가회동,37.582334,126.986929,100.0,5
MA010120220810042383,아비꼬 안국역점,일식,0.0,-0.21,10.0,0,0,서울특별시 종로구 북촌로 2,가회동,37.57724,126.98617,96.7,30
MA010120220809999893,모퉁이네,분식,0.0,0.03,2.78,0,0,서울특별시 종로구 계동길 67,가회동,37.580312,126.986667,91.7,36
MA010120220810354862,실리그린,패스트푸드,0.0,-0.21,33.33,0,0,서울특별시 종로구 계동길 59,가회동,37.579957,126.986631,100.0,15
MA010120220810300033,코피발리안국점,카페,0.0,-0.67,0.0,0,0,서울특별시 종로구 율곡로5길 19,삼청동,37.57703,126.984731,60.0,5
MA010120220810440902,바스켓12 계동,카페,0.0,-0.2,20.0,0,0,서울특별시 종로구 계동길 54,가회동,37.579724,126.986865,100.0,20
MA010120220810887507,계동만담,일식,0.0,-0.12,21.43,0,0,서울특별시 종로구 계동길 50,가회동,37.579514,126.986848,100.0,14
MA010120220811299767,감동칩스 북촌본점,패스트푸드,0.0,0.46,0.0,0,0,서울특별시 종로구 율곡로3길 83,삼청동,37.579329,126.982071,94.7,38
MA010120220811476208,가례원,분식,0.0,-0.64,0.0,0,0,서울특별시 종로구 삼청로 89-1,삼청동,37.583453,126.981675,91.7,12
MA010120220811492883,꽃밥에피다 북촌 친환경 그로서란트,한식,0.0,-0.63,0.0,0,0,서울특별시 종로구 북촌로 39,가회동,37.58043,126.984765,100.0,18
MA010120220813131895,호아드 카페&갤러리,카페,0.0,-0.29,20.0,0,0,서울특별시 종로구 율곡로1길 54-3,삼청동,37.578191,126.981118,90.0,20
MA010120220811745574,콩두부사랑,한식,0.0,-0.45,8.33,0,0,서울특별시 종로구 북촌로2길 5-4,가회동,37.578049,126.986093,100.0,12
MA010120220811840352,더블컵커피,카페,0.0,0.14,25.0,0,0,서울특별시 종로구 창덕궁1길 35,가회동,37.579261,126.987221,100.0,8
MA010120220811905091,보드레 안다미로,카페,0.0,-0.14,0.0,0,0,서울특별시 종로구 삼청로 63-1,삼청동,37.581457,126.980774,83.3,6
MA010120220812144776,아붕,패스트푸드,0.0,0.23,0.0,0,0,서울특별시 종로구 계동길 76,가회동,37.580664,126.986832,100.0,16
MA010120220812113355,이니미니마니모,카페,0.0,-0.19,0.0,0,0,서울특별시 종로구 삼청로5길 19,삼청동,37.582685,126.9807,92.3,13
MA010120220812085884,팔발라 삼청본점,서양식,0.0,-0.48,6.82,0,0,서울특별시 종로구 삼청로 61,삼청동,37.581319,126.980615,93.2,44
MA010120220812366544,희 사블레,카페,0.0,7.0,12.5,0,0,서울특별시 종로구 계동길 125,가회동,37.58289,126.986749,100.0,8
MA010120220812383243,푸드떼,카페,0.0,-0.38,0.0,0,0,서울특별시 종로구 율곡로1길 40-37,삼청동,37.577968,126.981361,100.0,13
MA010120220812625662,리김밥 현대건설점,분식,0.0,-0.35,78.12,0,0,서울특별시 종로구 율곡로 75,가회동,37.578802,126.987797,93.8,32
MA010120220812957075,콜디우드 안국,패스트푸드,0.0,0.03,12.12,0,0,서울특별시 종로구 북촌로5길 43,삼청동,37.579332,126.982542,87.9,33
MA010120220813047723,률,주점,0.0,1.5,0.0,0,0,서울특별시 종로구 북촌로5길 45,삼청동,37.579403,126.982386,100.0,5
MA010120220813194031,파인콘,카페,0.0,-0.44,20.0,0,0,서울특별시 종로구 북촌로5가길 44,삼청동,37.581389,126.981479,100.0,5
MA010120220813233283,국수명가 가회점,한식,0.0,-0.41,20.0,0,0,서울특별시 종로구 북촌로6길 1,가회동,37.580164,126.985185,90.0,10
MA010120220813135373,카타딘,주점,0.0,1.17,7.69,0,0,서울특별시 종로구 북촌로 31-6,가회동,37.579616,126.984508,100.0,13
MA010120220813370238,루이스 카페,카페,0.0,-0.62,0.0,0,0,서울특별시 종로구 계동길 98,가회동,37.581686,126.986869,100.0,3
MA010120220813607630,The 0123 샌드위치,카페,0.0,4.0,0.0,0,0,서울특별시 종로구 북촌로 14-2,가회동,37.578087,126.985713,80.0,5
MA010120220813777954,북촌막국수,한식,0.0,-0.2,12.5,0,0,서울특별시 종로구 삼청로 141,삼청동,37.587914,126.981499,93.8,16
MA010120220813940667,도라보울,한식,0.0,-0.24,1.41,0,0,서울특별시 종로구 북촌로5길 54,삼청동,37.579747,126.982052,94.4,71
MA010120220813948097,카페호미,카페,0.0,-0.25,16.67,0,0,서울특별시 종로구 삼청로 22,삼청동,37.577926,126.97987,100.0,6
MA010120220814053226,와옥,주점,0.0,-0.08,8.33,0,0,서울특별시 종로구 북촌로5나길 3-7,삼청동,37.581386,126.981678,100.0,12
MA010120220814159400,북촌진곰탕,한식,0.0,-0.27,50.0,0,0,서울특별시 종로구 북촌로 137-2,삼청동,37.587199,126.982853,100.0,8
MA010120220814159553,카페얼티밋,카페,0.0,0.5,0.0,0,0,서울특별시 종로구 계동길 57,가회동,37.579881,126.986611,100.0,6
MA010120220814111792,보이차전문점 명가원,카페,0.0,0.33,25.0,0,0,서울특별시 종로구 윤보선길 19-18,삼청동,37.577344,126.983563,100.0,4
MA0101202211A0037380,썸머골드,주점,0.0,0.0,1.82,0,0,서울특별시 종로구 계동길 87,가회동,37.581206,126.986674,98.2,55
MA0101202211A0019242,침스버거,패스트푸드,0.0,86.0,11.49,0,0,서울특별시 종로구 북촌로 14-2,가회동,37.578087,126.985713,97.7,87
MA0101202210A0088570,공공재 커피클럽,주점,0.0,2.36,4.26,0,0,서울특별시 종로구 윤보선길 35,삼청동,37.57754,126.983664,97.9,47
MA0101202210A0083421,탈스티,주점,0.0,-0.44,0.0,0,0,서울특별시 종로구 삼청로 102-15,삼청동,37.584174,126.982446,100.0,10
MA0101202211A0077915,교촌치킨 안국점,패스트푸드,0.0,-0.62,0.0,0,0,서울특별시 종로구 북촌로5길 43,삼청동,37.579332,126.982542,92.9,14
MA010120220800015898,하궁,중식,0.0,-0.17,21.05,0,0,서울특별시 종로구 삼청로 106,삼청동,37.584945,126.982281,94.7,19
MA010120220800029012,묵호횟집,한식,0.0,-0.47,25.0,0,0,서울특별시 종로구 북촌로 1,가회동,37.577034,126.985798,87.5,8
MA010120220800034476,북촌삼계탕,한식,0.0,0.5,0.0,0,0,서울특별시 종로구 창덕궁1길 10,가회동,37.579472,126.988723,100.0,6
MA010120220800034470,한경헌,카페,0.0,0.11,0.0,0,0,서울특별시 종로구 창덕궁길 170,가회동,37.583241,126.986597,100.0,10
MA010120220800023755,치킨하우스,패스트푸드,0.0,-0.71,25.0,0,0,서울특별시 종로구 북촌로 6,가회동,37.577507,126.986001,75.0,4
MA010120220800022467,마나님 레시피,한식,0.0,-0.5,0.0,0,0,서울특별시 종로구 윤보선길 65,삼청동,37.578839,126.983085,80.0,5
MA010120220800018937,등촌샤브칼국수 안국역점,한식,0.0,-0.32,13.89,0,0,서울특별시 종로구 북촌로2길 7,가회동,37.577953,126.986187,97.2,36
MA010120220800029250,브람스,카페,0.0,-0.09,10.0,0,0,서울특별시 종로구 율곡로 61,가회동,37.576931,126.985924,100.0,10
MA010120220800034352,카페레이서,카페,0.0,-0.44,0.0,0,0,서울특별시 종로구 북촌로 53,가회동,37.581793,126.984729,88.9,9
MA010120220800030270,국수명가,한식,0.0,-0.27,16.67,0,0,서울특별시 종로구 율곡로1길 54-1,삼청동,37.578284,126.980999,76.7,30
MA010120220800033742,다사리아,한식,0.0,-0.68,25.0,0,0,서울특별시 종로구 북촌로5나길 1,삼청동,37.581062,126.981636,100.0,8
MA010120220800031143,소소,카페,0.0,-0.1,55.56,0,0,서울특별시 종로구 계동길 76,가회동,37.580664,126.986832,100.0,9
MA010120220800031284,오뉴하우스,카페,0.0,-0.3,12.5,0,0,서울특별시 종로구 삼청로 76,삼청동,37.58215,126.98186,100.0,32
MA010120220800021017,한뫼촌,한식,0.0,-0.38,0.0,0,0,서울특별시 종로구 북촌로 24-4,가회동,37.578997,126.985573,100.0,5
MA010120220800026236,수왕,한식,0.0,-0.17,40.0,0,0,서울특별시 종로구 북촌로2길 12-4,가회동,37.577718,126.986303,100.0,5
MA010120220800032015,57th Cafe,패스트푸드,0.0,-0.5,8.33,0,0,서울특별시 종로구 율곡로3길 17,삼청동,37.576423,126.982592,91.7,12
MA010120220800032298,커피로드102,카페,0.0,-0.5,0.0,0,0,서울특별시 종로구 삼청로 102,삼청동,37.584525,126.982301,100.0,16
MA010120220800022083,순이네가게,분식,0.0,0.09,36.0,0,0,서울특별시 종로구 율곡로 67,가회동,37.577326,126.986608,92.0,75
MA010120220800022084,봉궁,중식,0.0,-0.3,35.71,0,0,서울특별시 종로구 계동길 15,가회동,37.577962,126.986593,100.0,14
MA010120220800032823,지밥,카페,0.0,-0.25,0.0,0,0,서울특별시 종로구 북촌로 137-19,삼청동,37.586977,126.982351,100.0,3
MA010120220800022087,북촌쭈꾸미,한식,0.0,0.05,15.0,0,0,서울특별시 종로구 창덕궁1길 36,가회동,37.579434,126.98726,85.0,20
MA010120220800073709,두레 국립현대미술관서울점,한식,0.0,-0.57,10.0,0,0,서울특별시 종로구 삼청로 30,삼청동,37.578752,126.981331,100.0,10
MA010120220800090750,북촌집,한식,0.0,-0.33,25.0,0,0,서울특별시 종로구 팔판길 39-5,삼청동,37.583579,126.980951,87.5,8
MA010120220800101998,빅스트로우 북촌점,카페,0.0,-0.58,0.0,0,0,서울특별시 종로구 북촌로5길 6,가회동,37.57945,126.984611,87.5,8
MA010120220800099165,종로삼대복집,한식,0.0,-0.4,0.0,0,0,서울특별시 종로구 북촌로1길 11,삼청동,37.57731,126.98514,100.0,3
MA010120220800069263,온더그라운드,카페,0.0,0.32,4.0,0,0,서울특별시 종로구 삼청로 108-6,삼청동,37.585094,126.982436,88.0,25
MA010120220800069858,두가헌 레스토랑,서양식,0.0,0.5,0.0,0,0,서울특별시 종로구 삼청로 14,삼청동,37.577328,126.979966,100.0,3
MA010120220800071435,로씨니,서양식,0.0,0.0,20.0,0,0,서울특별시 종로구 북촌로 18,가회동,37.578412,126.985839,100.0,5
MA010120220800061245,별궁식당,한식,0.0,-0.26,16.0,0,0,서울특별시 종로구 윤보선길 19-16,삼청동,37.57725,126.983606,96.0,25
MA010120220800039994,행복두배통다리치킨,패스트푸드,0.0,-0.29,40.0,0,0,서울특별시 종로구 북촌로4길 12,가회동,37.5791,126.985878,100.0,5
MA010120220800040317,더한옥,카페,0.0,-0.65,0.0,0,0,서울특별시 종로구 계동길 75,가회동,37.58066,126.986694,100.0,6
MA010120220800036622,북촌스토리,일식,0.0,-0.58,0.0,0,0,서울특별시 종로구 북촌로4길 27,가회동,37.579458,126.986616,80.0,5
MA010120220800041207,북촌한식뷔페,한식,0.0,-0.64,50.0,0,0,서울특별시 종로구 북촌로 3,가회동,37.577133,126.985592,100.0,4
MA010120220800038193,진국곰탕,한식,0.0,-0.6,25.0,0,0,서울특별시 종로구 율곡로 57-6,가회동,37.577034,126.985628,100.0,12
MA010120220800038144,동백식당,한식,0.0,0.0,28.57,0,0,서울특별시 종로구 윤보선길 10,삼청동,37.57654,126.984379,100.0,28
MA010120220800038961,삼청동우피,카페,0.0,-0.82,0.0,0,0,서울특별시 종로구 삼청로 113,삼청동,37.58547,126.981809,66.7,3
MA010120220800039672,안국정,한식,0.0,-0.31,11.11,0,0,서울특별시 종로구 북촌로2길 10,가회동,37.577759,126.986288,77.8,9
MA010120220800007897,원조부대고기,한식,0.0,-0.33,12.5,0,0,서울특별시 종로구 창덕궁1길 31,가회동,37.579268,126.987483,100.0,8
MA010120220800002629,향나무세그루,한식,0.0,1.17,15.38,0,0,서울특별시 종로구 삼청로 100,삼청동,37.584203,126.982168,92.3,13
MA010120220800013216,모미지,주점,0.0,-0.64,60.0,0,0,서울특별시 종로구 율곡로 63,가회동,37.577173,126.986243,80.0,5
MA010120220800003613,안집,한식,0.0,0.0,50.0,0,0,서울특별시 종로구 북촌로 6-6,가회동,37.577555,126.986321,100.0,4
MA010120220800009778,오복당,한식,0.0,0.0,11.11,0,0,서울특별시 종로구 삼청로 110-1,삼청동,37.585285,126.982179,88.9,9
MA010120220800014416,우리집,한식,0.0,0.0,0.0,0,0,서울특별시 종로구 계동길 17,가회동,37.5781,126.986589,100.0,3
MA010120220800000992,마산복집,한식,0.0,-0.22,0.0,0,0,서울특별시 종로구 북촌로2길 4,가회동,37.577853,126.985947,85.7,7
MA010120220800006673,아꼬떼,카페,0.0,-0.67,0.0,0,0,서울특별시 종로구 계동길 5,가회동,37.57752,126.98649,100.0,4
MA010120220800001520,삼청동 로마네꽁띠,서양식,0.0,0.5,0.0,0,0,서울특별시 종로구 북촌로5나길 83-6,삼청동,37.584405,126.982393,100.0,18
MA010120220800007618,향가,한식,0.0,0.0,16.67,0,0,서울특별시 종로구 계동길 19-6,가회동,37.578225,126.986223,100.0,6
MA010120220800555932,돌담집,한식,0.0,-0.57,33.33,0,0,서울특별시 종로구 창덕궁1길 22,가회동,37.579506,126.988055,100.0,3
MA010120220800758208,501커피,카페,0.0,-0.5,66.67,0,0,서울특별시 종로구 율곡로 75,가회동,37.578802,126.987797,100.0,3
MA010120220801725570,꿀밥상,한식,0.0,-0.7,0.0,0,0,서울특별시 종로구 삼청로 101,삼청동,37.584479,126.981858,92.3,26
MA010120220802586539,북촌애가삼도예카페,카페,0.0,-0.67,0.0,0,0,서울특별시 종로구 북촌로5가길 12,삼청동,37.580137,126.982183,100.0,4
MA010120220803016715,삼청순대국추어탕,한식,0.0,0.0,14.29,0,0,서울특별시 종로구 삼청로 101,삼청동,37.584479,126.981858,100.0,7
MA010120220803206304,비언유주얼 삼청점,서양식,0.0,0.0,0.0,0,0,서울특별시 종로구 삼청로 96,삼청동,37.5839,126.982101,100.0,7
MA010120220803313655,카페다겸,카페,0.0,-0.25,13.33,0,0,서울특별시 종로구 삼청로 106-2,삼청동,37.584826,126.982286,100.0,15
MA010120220803286614,삼청동김치찌개,한식,0.0,-0.53,11.11,0,0,서울특별시 종로구 삼청로11길 19,삼청동,37.588575,126.980905,100.0,9
MA010120220803291859,대림국수 안국점,한식,0.0,0.22,1.37,0,0,서울특별시 종로구 북촌로2길 9,가회동,37.577936,126.986285,90.4,73
MA010120220803789331,고이커피,카페,0.0,-0.6,75.0,0,0,서울특별시 종로구 북촌로 64-2,가회동,37.582472,126.985235,100.0,4
MA010120220803883316,국빈행성,한식,0.0,-0.27,18.18,0,0,서울특별시 종로구 계동길 15,가회동,37.577962,126.986593,100.0,11
MA010120220803938813,벽오동가,한식,0.0,0.0,0.0,0,0,서울특별시 종로구 율곡로3길 74-10,삼청동,37.5788,126.982442,100.0,5
MA010120220804168154,병천순대전문점,한식,0.0,0.0,0.0,0,0,서울특별시 종로구 계동길 39,가회동,37.579106,126.986622,80.0,5
MA010120220804396752,차향기 듣는 집,카페,0.0,0.0,0.0,0,0,서울특별시 종로구 북촌로5길 29,삼청동,37.579335,126.98316,87.5,8
MA010120220804390574,르꼬숑,서양식,0.0,-0.22,33.33,0,266,서울특별시 종로구 율곡로 83,가회동,37.577762,126.988417,100.0,42
MA010120220804339315,온6.5,한식,0.0,-0.37,0.0,0,0,서울특별시 종로구 북촌로1길 28,삼청동,37.57736,126.984273,96.3,27
MA010120220804670209,백미당 삼청점,카페,0.0,-0.26,1.33,0,0,서울특별시 종로구 삼청로 48,삼청동,37.580172,126.980252,97.3,75
MA010120220804913215,카페3청,카페,0.0,-0.33,6.25,0,0,서울특별시 종로구 삼청로 127-1,삼청동,37.586748,126.981537,100.0,16
MA010120220805053972,카페 르꽁뜨,카페,0.0,-0.16,0.0,0,0,서울특별시 종로구 창덕궁길 93,가회동,37.581734,126.989281,100.0,16
MA010120220805222151,소현당,한식,0.0,0.0,14.29,0,0,서울특별시 종로구 율곡로1길 74-11,삼청동,37.578897,126.981796,100.0,7
MA010120220805148419,모자이크 베이커리 북촌점,카페,0.0,0.07,9.3,0,0,서울특별시 종로구 북촌로4길 8,가회동,37.579093,126.985676,100.0,129
MA010120220805370711,현닭매운탕,한식,0.0,-0.64,50.0,0,0,서울특별시 종로구 계동길 17,가회동,37.5781,126.986589,100.0,4
MA0101202212A0051147,바운드리스,주점,0.0,0.0,0.0,0,0,서울특별시 종로구 율곡로3길 74-9,삼청동,37.579031,126.982685,100.0,3
MA0101202301A0085185,노란상소갈비 안국역점,한식,0.0,0.0,6.31,0,0,서울특별시 종로구 율곡로 67,가회동,37.577326,126.986608,94.6,111
MA0101202302A0049900,꽃누리들밥 경복궁점,한식,0.0,0.0,0.0,0,0,서울특별시 종로구 율곡로1길 31,삼청동,37.577349,126.980283,98.2,55
